Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,result
760,1902_24_TeamMA_TeamA1,198,49,198,6684764,6,2,""""
1306,1902_24_TeamMA_TeamA1,339,87,339,11798350,2,3,thrown out
1307,1902_24_TeamMA_TeamA1,339,87,339,11799538,4,2,""""
935,1902_26_TeamMC_TeamA1,241,65,241,8482327,2,3,thrown out
936,1902_26_TeamMC_TeamA1,241,65,241,8483627,4,2,""""
303,1902_26_TeamMH_TeamA3,71,22,71,2314006,2,3,steal 2B
304,1902_26_TeamMH_TeamA3,71,22,71,2315256,6,2,""""
518,1902_26_TeamMH_TeamA3,122,34,122,3834356,2,3,steal 2B
519,1902_26_TeamMH_TeamA3,122,34,122,3835406,4,2,""""
565,1902_26_TeamMH_TeamA3,135,37,135,4286856,2,3,steal x2
566,1902_26_TeamMH_TeamA3,135,37,135,4288006,6,2,""""
806,1902_26_TeamMH_TeamA3,196,53,196,6513206,2,3,sac fly 1B to 2B
807,1902_26_TeamMH_TeamA3,196,53,196,6514356,6,2,""""
86,1902_27_TeamMH_TeamA3,21,6,21,760922,2,3,double
87,1902_27_TeamMH_TeamA3,21,6,21,761872,6,2,""""
323,1902_27_TeamMH_TeamA3,88,22,88,3058072,2,3,steal 2B
324,1902_27_TeamMH_TeamA3,88,22,88,3059272,6,2,""""
163,1902_28_TeamMC_TeamA1,37,13,37,1284605,2,3,double
164,1902_28_TeamMC_TeamA1,37,13,37,1285555,6,9,""""
514,1902_28_TeamMC_TeamA1,130,35,130,4676755,2,3,hold at 1B
515,1902_28_TeamMC_TeamA1,130,35,130,4677505,255,16,""""
582,1902_28_TeamMC_TeamA1,147,39,147,5484005,2,3,steal 2B
583,1902_28_TeamMC_TeamA1,147,39,147,5485355,6,2,""""
850,1902_29_TeamMF_TeamA2,226,65,226,8762610,2,3,single
851,1902_29_TeamMF_TeamA2,226,65,226,8763760,4,2,""""
413,1902_30_TeamMF_TeamA2,114,29,114,3608379,2,3,hold at 1B
414,1902_30_TeamMF_TeamA2,114,29,114,3609679,6,2,""""
348,1902_31_TeamMF_TeamA2,101,26,101,2897096,2,3,caught stealing? SO/TO
349,1902_31_TeamMF_TeamA2,101,26,101,2898396,4,2,""""
878,1903_01_TeamNE_TeamA2,229,60,230,7416850,2,3,caught stealing? SO/TO
879,1903_01_TeamNE_TeamA2,229,60,230,7418071,255,16,""""
1008,1903_01_TeamNE_TeamA2,259,68,260,8543966,2,3,steal 2B
1009,1903_01_TeamNE_TeamA2,259,68,260,8545286,4,2,""""
1095,1903_01_TeamNE_TeamA2,284,73,285,9426222,2,3,steal 2B
1096,1903_01_TeamNE_TeamA2,284,73,285,9427509,4,2,""""
1160,1903_01_TeamNE_TeamA2,301,77,302,10022862,2,3,steal 2B
1161,1903_01_TeamNE_TeamA2,301,77,302,10024149,6,2,""""
1048,1903_03_TeamNE_TeamA2,275,74,276,9028528,2,3,no idea - mystery batter 9783
1049,1903_03_TeamNE_TeamA2,275,74,276,9029728,255,16,""""
291,1903_05_TeamND_TeamA2,78,19,78,2194662,2,3,steal x2 ball bounce
292,1903_05_TeamND_TeamA2,78,19,78,2195762,255,16,""""
412,1903_05_TeamND_TeamA2,114,26,114,3323062,2,3,caught stealing
413,1903_05_TeamND_TeamA2,114,26,114,3324362,6,2,""""
52,1903_06_TeamND_TeamA2,15,4,15,300774,2,3,caught stealing? SO/TO
53,1903_06_TeamND_TeamA2,15,4,15,302024,4,2,""""
557,1903_06_TeamND_TeamA2,141,43,143,4570374,2,3,steal x2
558,1903_06_TeamND_TeamA2,141,43,143,4571374,4,2,""""
388,1903_07_TeamND_TeamA2,101,25,102,2933473,2,3,steal 2B
389,1903_07_TeamND_TeamA2,101,25,102,2934773,6,2,""""
627,1903_07_TeamND_TeamA2,168,38,169,4945773,2,3,single
628,1903_07_TeamND_TeamA2,168,38,169,4947073,4,2,""""
345,1903_08_TeamNJ_TeamB,91,24,92,3086117,2,3,caught stealing? SO/TO
346,1903_08_TeamNJ_TeamB,91,24,92,3087417,0,5,""""
295,1903_09_TeamNJ_TeamB,83,21,84,3031865,2,3,caught stealing? SO/TO
296,1903_09_TeamNJ_TeamB,83,21,84,3033115,6,2,""""
373,1903_09_TeamNJ_TeamB,104,25,105,3822465,2,3,caught stealing? SO/TO
374,1903_09_TeamNJ_TeamB,104,25,105,3823665,6,2,""""
417,1903_09_TeamNJ_TeamB,113,29,114,4156915,2,3,caught stealing? SO/TO
418,1903_09_TeamNJ_TeamB,113,29,114,4158215,6,2,""""
796,1903_09_TeamNJ_TeamB,209,57,212,8075965,2,3,steal 2B
797,1903_09_TeamNJ_TeamB,209,57,212,8077165,6,2,""""
197,1903_10_TeamNJ_TeamB,49,14,52,1676189,2,3,caught stealing? SO/TO
198,1903_10_TeamNJ_TeamB,49,14,52,1677389,255,16,""""
463,1903_11_TeamNC_TeamA1,114,33,115,9263436,2,3,steal x2
464,1903_11_TeamNC_TeamA1,114,33,115,9264486,255,16,""""
489,1903_11_TeamNC_TeamA1,117,34,118,9354386,2,3,steal 2B
490,1903_11_TeamNC_TeamA1,117,34,118,9355486,6,2,""""
677,1903_12_TeamNC_TeamA1,178,48,178,6281454,2,3,caught stealing? SO/TO
678,1903_12_TeamNC_TeamA1,178,48,178,6282754,4,2,""""
739,1903_13_TeamNG_TeamA3,215,55,215,7247834,2,3,steal 2B
740,1903_13_TeamNG_TeamA3,215,55,215,7249034,6,2,""""
260,1903_14_TeamNG_TeamA3,69,20,69,2220201,2,3,thrown out
261,1903_14_TeamNG_TeamA3,69,20,69,2221301,6,2,""""
400,1903_14_TeamNG_TeamA3,106,36,106,4280782,2,3,steal 2B
401,1903_14_TeamNG_TeamA3,106,36,106,4281782,6,2,""""
642,1903_14_TeamNG_TeamA3,173,54,173,6753171,2,3,thrown out
643,1903_14_TeamNG_TeamA3,173,54,173,6753921,6,2,""""
517,1903_15_TeamNG_TeamA3,137,34,137,4463919,2,3,???
518,1903_15_TeamNG_TeamA3,137,34,137,4464769,255,16,""""
524,1903_15_TeamNG_TeamA3,138,34,138,4505119,2,3,caught stealing? SO/TO
525,1903_15_TeamNG_TeamA3,138,34,138,4506369,4,2,""""
298,1903_16_TeamNI_TeamA3,74,23,75,2292068,2,3,hold at 1B
299,1903_16_TeamNI_TeamA3,74,23,75,2292768,255,16,""""
837,1903_16_TeamNI_TeamA3,212,58,213,6682818,2,3,hold at 2B
838,1903_16_TeamNI_TeamA3,212,58,213,6684018,4,2,""""
67,1903_18_TeamNI_TeamA3,14,4,14,320116,2,3,hold at 2B
68,1903_18_TeamNI_TeamA3,14,4,14,321316,6,2,""""
115,1903_19_TeamNL_TeamB,25,8,26,777151,2,3,steal 2B
116,1903_19_TeamNL_TeamB,25,8,26,778451,6,2,""""
186,1903_19_TeamNL_TeamB,41,11,42,1226701,2,3,steal 2B
187,1903_19_TeamNL_TeamB,41,11,42,1227751,6,2,""""
565,1903_20_TeamNL_TeamB,149,40,149,4949516,2,3,steal x2 - ball bounce
566,1903_20_TeamNL_TeamB,149,40,149,4950616,255,16,""""
899,1903_20_TeamNL_TeamB,232,61,234,7920366,2,3,steal 2B
900,1903_20_TeamNL_TeamB,232,61,234,7921666,6,2,""""
940,1903_20_TeamNL_TeamB,240,62,243,8211566,2,3,caught stealing? SO/TO
941,1903_20_TeamNL_TeamB,240,62,243,8212516,4,2,""""
265,1903_22_TeamNA_TeamA1,64,16,64,1684013,2,3,steal 2B
266,1903_22_TeamNA_TeamA1,64,16,64,1685363,4,2,""""
552,1903_22_TeamNA_TeamA1,139,37,140,3938713,2,3,caught stealing? SO/TO
553,1903_22_TeamNA_TeamA1,139,37,140,3939913,4,2,""""
650,1903_22_TeamNA_TeamA1,162,45,163,4763913,2,3,hold at 1B
651,1903_22_TeamNA_TeamA1,162,45,163,4764663,255,16,""""
667,1903_22_TeamNA_TeamA1,166,45,167,4849613,2,3,steal x2 - ball bounce
668,1903_22_TeamNA_TeamA1,166,45,167,4850963,255,16,""""
739,1903_22_TeamNA_TeamA1,187,49,188,5632563,2,3,steal 2B
740,1903_22_TeamNA_TeamA1,187,49,188,5633763,4,2,""""
956,1903_22_TeamNA_TeamA1,248,64,249,7717513,2,3,steal x2 - ball bounce
957,1903_22_TeamNA_TeamA1,248,64,249,7719363,255,16,""""
521,1903_23_TeamNA_TeamA1,137,37,141,4333394,2,3,caught stealing
522,1903_23_TeamNA_TeamA1,137,37,141,4334644,4,2,""""
562,1903_23_TeamNA_TeamA1,148,38,152,4608744,2,3,steal 2B - ball bounce
563,1903_23_TeamNA_TeamA1,148,38,152,4609844,255,16,""""
956,1903_25_TeamNH_TeamA3,248,69,249,8951561,2,3,caught stealing? SO/TO
957,1903_25_TeamNH_TeamA3,248,69,249,8952761,6,2,""""
175,1903_25_TeamNK_TeamB,42,14,42,1474265,2,3,caught stealing? SO/TO
176,1903_25_TeamNK_TeamB,42,14,42,1475415,255,16,""""
257,1903_25_TeamNK_TeamB,60,19,62,2168365,2,3,steal 2B
258,1903_25_TeamNK_TeamB,60,19,62,2169765,6,2,""""
459,1903_25_TeamNK_TeamB,114,36,119,4185715,2,3,steal 2B - ball bounce
460,1903_25_TeamNK_TeamB,114,36,119,4186815,255,16,""""
631,1903_28_TeamNF_TeamA2,164,48,164,5606001,2,3,double
632,1903_28_TeamNF_TeamA2,164,48,164,5607201,6,2,""""
65,1903_29_TeamNF_TeamA2,20,4,20,492104,2,3,steal 2B - ball bounce
66,1903_29_TeamNF_TeamA2,20,4,20,493204,255,16,""""
106,1903_29_TeamNF_TeamA2,29,6,29,881304,2,3,double
107,1903_29_TeamNF_TeamA2,29,6,29,882504,6,2,""""
298,1903_29_TeamNF_TeamA2,79,20,79,2592129,2,3,steal 2B
299,1903_29_TeamNF_TeamA2,79,20,79,2593429,6,2,""""
456,1903_29_TeamNF_TeamA2,122,30,122,4123221,2,3,steal 2B
457,1903_29_TeamNF_TeamA2,122,30,122,4124521,6,2,""""
591,1903_29_TeamNF_TeamA2,159,37,159,5163421,2,3,caught stealing? SO/TO
592,1903_29_TeamNF_TeamA2,159,37,159,5164571,4,2,""""
755,1903_30_TeamNB_TeamA1,179,58,187,6001721,2,3,steal 2B
756,1903_30_TeamNB_TeamA1,179,58,187,6002971,4,2,""""
285,1903_30_TeamNF_TeamA2,77,19,77,2210347,2,3,caught stealing
286,1903_30_TeamNF_TeamA2,77,19,77,2211547,4,2,""""
367,1903_30_TeamNF_TeamA2,96,23,96,2770947,2,3,steal 2B
368,1903_30_TeamNF_TeamA2,96,23,96,2772147,4,2,""""
743,1903_30_TeamNF_TeamA2,195,49,195,6084447,2,3,caught stealing
744,1903_30_TeamNF_TeamA2,195,49,195,6085647,6,2,""""
111,1903_31_TeamNB_TeamA1,25,8,25,824592,2,3,caught stealing
112,1903_31_TeamNB_TeamA1,25,8,25,825792,6,2,""""
290,1903_32_TeamNB_TeamA1,69,24,71,2002988,2,3,caught stealing? SO/TO
291,1903_32_TeamNB_TeamA1,69,24,71,2003788,255,16,""""
