Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,result
115,1903_19_TeamNL_TeamB,25,8,26,777151,2,3,steal 2B
116,1903_19_TeamNL_TeamB,25,8,26,778451,6,2,""""
186,1903_19_TeamNL_TeamB,41,11,42,1226701,2,3,steal 2B
187,1903_19_TeamNL_TeamB,41,11,42,1227751,6,2,""""
899,1903_20_TeamNL_TeamB,232,61,234,7920366,2,3,steal 2B
900,1903_20_TeamNL_TeamB,232,61,234,7921666,6,2,""""
265,1903_22_TeamNA_TeamA1,64,16,64,1684013,2,3,steal 2B
266,1903_22_TeamNA_TeamA1,64,16,64,1685363,4,2,""""
667,1903_22_TeamNA_TeamA1,166,45,167,4849613,2,3,steal x2 - ball bounce
668,1903_22_TeamNA_TeamA1,166,45,167,4850963,255,16,""""
739,1903_22_TeamNA_TeamA1,187,49,188,5632563,2,3,steal 2B
740,1903_22_TeamNA_TeamA1,187,49,188,5633763,4,2,""""
562,1903_23_TeamNA_TeamA1,148,38,152,4608744,2,3,steal 2B - ball bounce
563,1903_23_TeamNA_TeamA1,148,38,152,4609844,255,16,""""
257,1903_25_TeamNK_TeamB,60,19,62,2168365,2,3,steal 2B
258,1903_25_TeamNK_TeamB,60,19,62,2169765,6,2,""""
459,1903_25_TeamNK_TeamB,114,36,119,4185715,2,3,steal 2B - ball bounce
460,1903_25_TeamNK_TeamB,114,36,119,4186815,255,16,""""
65,1903_29_TeamNF_TeamA2,20,4,20,492104,2,3,steal 2B - ball bounce
66,1903_29_TeamNF_TeamA2,20,4,20,493204,255,16,""""
298,1903_29_TeamNF_TeamA2,79,20,79,2592129,2,3,steal 2B
299,1903_29_TeamNF_TeamA2,79,20,79,2593429,6,2,""""
456,1903_29_TeamNF_TeamA2,122,30,122,4123221,2,3,steal 2B
457,1903_29_TeamNF_TeamA2,122,30,122,4124521,6,2,""""
755,1903_30_TeamNB_TeamA1,179,58,187,6001721,2,3,steal 2B
756,1903_30_TeamNB_TeamA1,179,58,187,6002971,4,2,""""
367,1903_30_TeamNF_TeamA2,96,23,96,2770947,2,3,steal 2B
368,1903_30_TeamNF_TeamA2,96,23,96,2772147,4,2,""""
